ImgLinks,description,price,title
"//cdn.shopify.com/s/files/1/0534/2501/2925/products/JNPR3321new.jpg?v=1640845263,//cdn.shopify.com/s/files/1/0534/2501/2925/products/JNPR3324.jpg?v=1640845263,//cdn.shopify.com/s/files/1/0534/2501/2925/products/JNPR3340aa.jpg?v=1640845263,//cdn.shopify.com/s/files/1/0534/2501/2925/products/JNPR3327.jpg?v=1640845258,//cdn.shopify.com/s/files/1/0534/2501/2925/products/JNPR3336.jpg?v=1640845258","Primary Fabric: 100% Cotton
Pattern: Solid
Color: Teal
Style: Short
Length: Mid-Thigh Length
Mid Rise waist
Full Elasticated Waist
This garment has Slash Pocket, Mobile Pocket
Number of Pockets: 3
Garment Transparency: Opaque
Relaxed Fit
Wash delicately by hand, or in the most gentle machine cycle.
Iron on reverse. Line dry in the shade.
Do not dry clean, bleach, wring, tumble dry or iron on embellishments.
Natural colors tend to bleed. Wash them separately with less washing agent.",2460,Teal Solid Cotton Short Shorts
"//cdn.shopify.com/s/files/1/0534/2501/2925/products/handspun-brown-flared-shorts-flared-shorts-171324.jpg?v=1626080841,//cdn.shopify.com/s/files/1/0534/2501/2925/products/handspun-brown-flared-shorts-flared-shorts-875565.jpg?v=1626080841,//cdn.shopify.com/s/files/1/0534/2501/2925/products/handspun-brown-flared-shorts-flared-shorts-517788.jpg?v=1626080841,//cdn.shopify.com/s/files/1/0534/2501/2925/products/handspun-brown-flared-shorts-flared-shorts-183739.jpg?v=1626080841,//cdn.shopify.com/s/files/1/0534/2501/2925/products/handspun-brown-flared-shorts-flared-shorts-563954.jpg?v=1626080841,//cdn.shopify.com/s/files/1/0534/2501/2925/products/handspun-brown-flared-shorts-flared-shorts-643506.jpg?v=1626080841","Primary Fabric: 100% Cotton - Yarn Dyed, Azo-Free Dyed, Handspun, Hand Woven in Murshidabad (West Bengal)
This is a lined garment
Pattern: Solid
Color: Brown
Style: Flared
Length: Mid-Thigh Length
Mid Rise waist
Half Elasticated Waist
This garment has Inseam Pocket
Number of Pockets: 2
Garment Transparency: Opaque
Comfort Fit
Wash delicately by hand, or in the most gentle machine cycle.
Iron on reverse. Line dry in the shade.
Do not dry clean, bleach, wring, tumble dry or iron on embellishments.
Natural colors tend to bleed. Wash them separately with less washing agent.",3720,Handspun Brown Flared Shorts
"//cdn.shopify.com/s/files/1/0534/2501/2925/products/floral-bagru-printed-short-shorts-short-shorts-756458.jpg?v=1625850454,//cdn.shopify.com/s/files/1/0534/2501/2925/products/floral-bagru-printed-short-shorts-short-shorts-835454.jpg?v=1625850454,//cdn.shopify.com/s/files/1/0534/2501/2925/products/floral-bagru-printed-short-shorts-short-shorts-894813.jpg?v=1625850454,//cdn.shopify.com/s/files/1/0534/2501/2925/products/floral-bagru-printed-short-shorts-short-shorts-799069.jpg?v=1625850454,//cdn.shopify.com/s/files/1/0534/2501/2925/products/floral-bagru-printed-short-shorts-short-shorts-609254.jpg?v=1625850454","Craft: Bagru Hand Block Print
Primary Fabric: 100% Cotton - Natural Dyed, Hand Block Printed in Bagru (Rajasthan)
Pattern: Floral, Contemporary
Color: Beige
Style: Short
Length: Micro Length
Mid Rise waist
Full Elasticated Waist
This garment has Patch Pocket
Number of Pockets: 2
Garment Transparency: Opaque
Comfort Fit
Elasticized Drawstring at Waist
Wash delicately by hand, or in the most gentle machine cycle.
Iron on reverse. Line dry in the shade.
Do not dry clean, bleach, wring, tumble dry or iron on embellishments.
Natural colors tend to bleed. Wash them separately with less washing agent.",2670,Floral Block Print Comfort Fit Shorts
"//cdn.shopify.com/s/files/1/0534/2501/2925/products/indigo-cotton-denim-paneled-shorts-paneled-shorts-298788.jpg?v=1611240888,//cdn.shopify.com/s/files/1/0534/2501/2925/products/indigo-cotton-denim-paneled-shorts-paneled-shorts-618394.jpg?v=1611240888,//cdn.shopify.com/s/files/1/0534/2501/2925/products/indigo-cotton-denim-paneled-shorts-paneled-shorts-946396.jpg?v=1611240888,//cdn.shopify.com/s/files/1/0534/2501/2925/products/indigo-cotton-denim-paneled-shorts-paneled-shorts-884463.jpg?v=1611240888,//cdn.shopify.com/s/files/1/0534/2501/2925/products/indigo-cotton-denim-paneled-shorts-paneled-shorts-926446.jpg?v=1611240888,//cdn.shopify.com/s/files/1/0534/2501/2925/products/indigo-cotton-denim-paneled-shorts-paneled-shorts-272301.jpg?v=1611240888","Primary Fabric: 100% Cotton Denim
This garment is Hand Embroidered
Pattern: Solid
Color: Indigo
Button Type: Metal
Style: Paneled, Short
Length: Mid-Thigh Length
Mid Rise waist
This garment has Slash Pocket
Number of Pockets: 2
Garment Transparency: Opaque
Comfort Fit
Exposed Zip at Front
Wash delicately by hand, or in the most gentle machine cycle.
Iron on reverse. Line dry in the shade.
Do not dry clean, bleach, wring, tumble dry or iron on embellishments.
Natural colors tend to bleed. Wash them separately with less washing agent.",3400,Indigo Cotton Denim Paneled Shorts
"//cdn.shopify.com/s/files/1/0534/2501/2925/products/vegetable-dyed-off-white-paneled-shorts-paneled-shorts-120047.jpg?v=1626283687,//cdn.shopify.com/s/files/1/0534/2501/2925/products/vegetable-dyed-off-white-paneled-shorts-paneled-shorts-297253.jpg?v=1626283687,//cdn.shopify.com/s/files/1/0534/2501/2925/products/vegetable-dyed-off-white-paneled-shorts-paneled-shorts-278679.jpg?v=1626283687,//cdn.shopify.com/s/files/1/0534/2501/2925/products/vegetable-dyed-off-white-paneled-shorts-paneled-shorts-215418.jpg?v=1626283687,//cdn.shopify.com/s/files/1/0534/2501/2925/products/vegetable-dyed-off-white-paneled-shorts-paneled-shorts-377677.jpg?v=1626283687","Primary Fabric: 100% Cotton - Yarn Dyed, Vegetable Dyed in Ahmedabad (Gujarat), Handspun, Hand Woven in Nagri (Tamil Nadu)
Pattern: Checks
Color: Off-white, Pink
Style: Paneled
Length: Mid-Thigh Length
Mid Rise waist
Full Elasticated Waist
This garment has Slash Pocket
Number of Pockets: 2
Garment Transparency: Opaque
Comfort Fit
Wash delicately by hand, or in the most gentle machine cycle.
Iron on reverse. Line dry in the shade.
Do not dry clean, bleach, wring, tumble dry or iron on embellishments.
Natural colors tend to bleed. Wash them separately with less washing agent.",3940,Vegetable Dyed Off-White Paneled Shorts
"//cdn.shopify.com/s/files/1/0534/2501/2925/products/melon-orange-handspun-mirror-work-shorts-straight-shorts-828968.jpg?v=1626279953,//cdn.shopify.com/s/files/1/0534/2501/2925/products/melon-orange-handspun-mirror-work-shorts-straight-shorts-593333.jpg?v=1626279953,//cdn.shopify.com/s/files/1/0534/2501/2925/products/melon-orange-handspun-mirror-work-shorts-straight-shorts-712699.jpg?v=1626279953,//cdn.shopify.com/s/files/1/0534/2501/2925/products/melon-orange-handspun-mirror-work-shorts-straight-shorts-402935.jpg?v=1626279953","Primary Fabric: 100% Cotton Muslin - Yarn Dyed, Azo-Free Dyed, Handspun, Hand Woven in Murshidabad (West Bengal)
Pattern: Solid
Color: Melon Orange
Button Type: Shell
Style: Straight 
Length: Mid-Thigh Length
Mid Rise waist
Half Elasticated Waist
This garment has Patch Pocket
Number of Pockets: 2
Garment Transparency: Opaque
Relaxed Fit
Exposed Zip at front
Wash delicately by hand, or in the most gentle machine cycle.
Iron on reverse. Line dry in the shade.
Do not dry clean, bleach, wring, tumble dry or iron on embellishments.
Natural colors tend to bleed. Wash them separately with less washing agent.",2610,Melon Orange Handspun Mirror Work Shorts
"//cdn.shopify.com/s/files/1/0534/2501/2925/products/cotton-grey-striped-paperbag-shorts-paperbag-shorts-213255.jpg?v=1625849646,//cdn.shopify.com/s/files/1/0534/2501/2925/products/cotton-grey-striped-paperbag-shorts-paperbag-shorts-183865.jpg?v=1625849646,//cdn.shopify.com/s/files/1/0534/2501/2925/products/cotton-grey-striped-paperbag-shorts-paperbag-shorts-875873.jpg?v=1625849646,//cdn.shopify.com/s/files/1/0534/2501/2925/products/cotton-grey-striped-paperbag-shorts-paperbag-shorts-688935.jpg?v=1625849646,//cdn.shopify.com/s/files/1/0534/2501/2925/products/cotton-grey-striped-paperbag-shorts-paperbag-shorts-646168.jpg?v=1625849646,//cdn.shopify.com/s/files/1/0534/2501/2925/products/cotton-grey-striped-paperbag-shorts-paperbag-shorts-981638.jpg?v=1625849646","Primary Fabric: 100% Cotton - Yarn Dyed
Pattern: Stripes
Color: Cloudy Grey
Button Type: Metal
Style: Paperbag, Pleated
Length: Mid-Thigh Length
High Rise waist
Detached Belt at Waist
This garment has Inseam Pocket
Number of Pockets: 2
Garment Transparency: Opaque
Relaxed Fit
Concealed Zip at Side
Belt Loops 
Wash delicately by hand, or in the most gentle machine cycle.
Iron on reverse. Line dry in the shade.
Do not dry clean, bleach, wring, tumble dry or iron on embellishments.
Natural colors tend to bleed. Wash them separately with less washing agent.",3550,Cotton Grey Striped Paperbag Shorts
"//cdn.shopify.com/s/files/1/0534/2501/2925/products/violet-mangalgiri-cotton-short-shorts-short-shorts-603837.jpg?v=1625991042,//cdn.shopify.com/s/files/1/0534/2501/2925/products/violet-mangalgiri-cotton-short-shorts-short-shorts-544081.jpg?v=1625991042,//cdn.shopify.com/s/files/1/0534/2501/2925/products/violet-mangalgiri-cotton-short-shorts-short-shorts-111444.jpg?v=1625991042,//cdn.shopify.com/s/files/1/0534/2501/2925/products/violet-mangalgiri-cotton-short-shorts-short-shorts-273810.jpg?v=1625991042,//cdn.shopify.com/s/files/1/0534/2501/2925/products/violet-mangalgiri-cotton-short-shorts-short-shorts-948141.jpg?v=1625991042","Primary Fabric: 100% Cotton Mangalgiri - Yarn Dyed, Woven in Chinnalapatti (Tamil Nadu)
Pattern: Stripes
Color: Violet
Style: Short
Length: Mid-Thigh Length
High Rise waist
Half Elasticated Waist
This garment has Slash Pocket
Number of Pockets: 2
Garment Transparency: Opaque
Relaxed Fit
Pin Tucks at front
Wash delicately by hand, or in the most gentle machine cycle.
Iron on reverse. Line dry in the shade.
Do not dry clean, bleach, wring, tumble dry or iron on embellishments.
Natural colors tend to bleed. Wash them separately with less washing agent.",3440,Violet Striped Mangalgiri Cotton Shorts
"//cdn.shopify.com/s/files/1/0534/2501/2925/products/khakhi-vegetable-dyed-handspun-short-shorts-short-shorts-683178.jpg?v=1626083172,//cdn.shopify.com/s/files/1/0534/2501/2925/products/khakhi-vegetable-dyed-handspun-short-shorts-short-shorts-974820.jpg?v=1626083172,//cdn.shopify.com/s/files/1/0534/2501/2925/products/khakhi-vegetable-dyed-handspun-short-shorts-short-shorts-725976.jpg?v=1626083172,//cdn.shopify.com/s/files/1/0534/2501/2925/products/khakhi-vegetable-dyed-handspun-short-shorts-short-shorts-401467.jpg?v=1626083172,//cdn.shopify.com/s/files/1/0534/2501/2925/products/khakhi-vegetable-dyed-handspun-short-shorts-short-shorts-346326.jpg?v=1626083172","Primary Fabric: 100% Cotton - Vegetable Dyed in Ahmedabad (Gujarat), Handspun, Hand Woven in Nagri (Tamil Nadu)
Pattern: Solid
Color: Khaki Green
Style: Short
Length: Mid-Thigh Length
Mid Rise waist
Full Elasticated Waist, Attached Belt at Waist
This garment has Patch Pocket, Mobile Pocket
Number of Pockets: 4
Garment Transparency: Opaque
Comfort Fit
Contrast Top Stitch 
Wash delicately by hand, or in the most gentle machine cycle.
Iron on reverse. Line dry in the shade.
Do not dry clean, bleach, wring, tumble dry or iron on embellishments.
Natural colors tend to bleed. Wash them separately with less washing agent.",4670,Khaki Vegetable Dyed Handspun Short Shorts
"//cdn.shopify.com/s/files/1/0534/2501/2925/products/mauve-cotton-corduroy-baggy-shorts-baggy-shorts-701908.jpg?v=1625990578,//cdn.shopify.com/s/files/1/0534/2501/2925/products/mauve-cotton-corduroy-baggy-shorts-baggy-shorts-831988.jpg?v=1625990578,//cdn.shopify.com/s/files/1/0534/2501/2925/products/mauve-cotton-corduroy-baggy-shorts-baggy-shorts-450708.jpg?v=1625990578,//cdn.shopify.com/s/files/1/0534/2501/2925/products/mauve-cotton-corduroy-baggy-shorts-baggy-shorts-320004.jpg?v=1625990578,//cdn.shopify.com/s/files/1/0534/2501/2925/products/mauve-cotton-corduroy-baggy-shorts-baggy-shorts-680357.jpg?v=1625990578,//cdn.shopify.com/s/files/1/0534/2501/2925/products/mauve-cotton-corduroy-baggy-shorts-baggy-shorts-100693.jpg?v=1625990578,//cdn.shopify.com/s/files/1/0534/2501/2925/products/mauve-cotton-corduroy-baggy-shorts-baggy-shorts-950871.jpg?v=1625990578","Primary Fabric: 100% Cotton Corduroy
Pattern: Solid, Stripes
Color: Mauve
Button Type: Shell
Style: Baggy, Pleated
Length: Mid-Thigh Length
High Rise waist
Half Elasticated Waist
This garment has Slash Pocket
Number of Pockets: 2
Garment Transparency: Opaque
Comfort Fit
Exposed Zip at Front
Functional Specialty: Fold Up Hem
Wash delicately by hand, or in the most gentle machine cycle.
Iron on reverse. Line dry in the shade.
Do not dry clean, bleach, wring, tumble dry or iron on embellishments.
Natural colors tend to bleed. Wash them separately with less washing agent.",3200,Mauve Cotton Corduroy Baggy Shorts
